nm       L7               L4      L5
809     0.9100          0.9742  0.9825
810     0.9080          0.9712  0.9804
811     0.9050          0.9682  0.9758
812     0.9030          0.9651  0.9712
813     0.9040          0.9621  0.9666
814     0.9020          0.9591  0.9620
815     0.9090          0.9561  0.9574
816     0.9170          0.9530  0.9529
817     0.9200          0.9500  0.9483
818     0.9280          0.9474  0.9442
819     0.9380          0.9447  0.9400
820     0.9460          0.9420  0.9359
821     0.9530          0.9391  0.9313
822     0.9620          0.9362  0.9268
823     0.9690          0.9333  0.9223
824     0.9710          0.9304  0.9178
825     0.9710          0.9304  0.9161
826     0.9700          0.9320  0.9160
827     0.9690          0.9340  0.9164
828     0.9690          0.9360  0.9167
829     0.9700          0.9380  0.9170
830     0.9670          0.9399  0.9173
831     0.9690          0.9419  0.9176
832     0.9680          0.9439  0.9178
833     0.9630          0.9459  0.9181
834     0.9650          0.9479  0.9183
835     0.9670          0.9499  0.9185
836     0.9650          0.9519  0.9188
837     0.9630          0.9539  0.9190
838     0.9580          0.9558  0.9192
839     0.9500          0.9578  0.9194
840     0.9490          0.9598  0.9196
841     0.9430          0.9618  0.9202
842     0.9330          0.9638  0.9208
843     0.9290          0.9658  0.9214
844     0.9280          0.9677  0.9220
845     0.9250          0.9697  0.9226
846     0.9240          0.9717  0.9232
847     0.9270          0.9737  0.9237
848     0.9320          0.9756  0.9243
849     0.9340          0.9776  0.9249
850     0.9430          0.9796  0.9254
851     0.9520          0.9782  0.9217
852     0.9560          0.9768  0.9179
853     0.9660          0.9754  0.9141
854     0.9770          0.9740  0.9104
855     0.9850          0.9726  0.9067
856     0.9900          0.9711  0.9029
857     0.9920          0.9697  0.8992
858     0.9930          0.9674  0.8947
859     0.9940          0.9651  0.8901
860     0.9980          0.9627  0.8856
861     0.9960          0.9604  0.8831
862     0.9920          0.9591  0.8815
863     0.9910          0.9589  0.8810
864     0.9920          0.9587  0.8804
865     0.9940          0.9599  0.8811
866     0.9930          0.9610  0.8818
867     0.9970          0.9621  0.8824
868     0.9970          0.9632  0.8831
869     0.9960          0.9643  0.8838
870     0.9980          0.9655  0.8844
871     0.9990          0.9666  0.8858
872     1.0000          0.9677  0.8871
873     0.9990          0.9653  0.8853
874     0.9960          0.9626  0.8832
875     0.9910          0.9599  0.8810
876     0.9900          0.9549  0.8768
877     0.9910          0.9499  0.8725
878     0.9850          0.9449  0.8683
879     0.9780          0.9400  0.8641
880     0.9690          0.9350  0.8599
881     0.9550          0.9290  0.8530
882     0.9370          0.9218  0.8451
883     0.9160          0.9147  0.8372
884     0.8920          0.9077  0.8294
885     0.8680          0.9006  0.8217
886     0.8450          0.8936  0.8139
887     0.8240          0.8866  0.8063
888     0.8110          0.8796  0.7986
889     0.8070          0.8726  0.7910
890     0.8190          0.8657  0.7835
891     0.8410          0.8648  0.7835
892     0.8680          0.8640  0.7836
893     0.8920          0.8577  0.7787
894     0.8920          0.8460  0.7690
895     0.8540          0.8344  0.7592
896     0.7700          0.8229  0.7495
897     0.6440          0.8114  0.7398
898     0.5010          0.8000  0.7302
899     0.3650          0.7889  0.7208
900     0.2560          0.7786  0.7152
901     0.1770          0.7333  0.6710
902     0.1220          0.6882  0.6299
903     0.0850          0.6434  0.5891
904     0.0610          0.5785  0.5299
905     0.0440          0.5090  0.4664
906     0.0320          0.4400  0.4033
907     0.0250          0.3714  0.3405
908     0.0190          0.3211  0.2945
909     0.0140          0.2755  0.2528
910     0.0110          0.2303  0.2114
911     0.0107          0.1853  0.1702
912     0.0080          0.1557  0.1430
913     0.0061          0.1301  0.1195
914     0.0052          0.1047  0.0962
915     0.0000          0.0840  0.0772
920     0.0000          0.0341  0.0314
925     0.0000          0.0167  0.0154
930     0.0000          0.0081  0.0075
935     0.0000          0.0059  0.0055
940     0.0000          0.0038  0.0035
945     0.0000          0.0015  0.0017
